DATETIME: 12/18/2017 2:22:11 PM; ROUTE: api/MPFS/GlobalPaymentRate; METHOD: POST; IP_ADDRESS: ::1; EXCEPTION: Object reference not set to an instance of an object.; INNER EXCEPTION: 
DATETIME: 12/18/2017 2:22:11 PM; ROUTE: api/MPFS/ProfessionalPaymentRate; METHOD: POST; IP_ADDRESS: ::1; EXCEPTION: Object reference not set to an instance of an object.; INNER EXCEPTION: 
DATETIME: 12/18/2017 2:22:11 PM; ROUTE: api/MPFS/TechnicalPaymentRate; METHOD: POST; IP_ADDRESS: ::1; EXCEPTION: Object reference not set to an instance of an object.; INNER EXCEPTION: 
DATETIME: 12/18/2017 2:22:29 PM; ROUTE: api/MPFS/ProfessionalPaymentRate; METHOD: POST; IP_ADDRESS: ::1; EXCEPTION: Object reference not set to an instance of an object.; INNER EXCEPTION: 
DATETIME: 12/18/2017 2:22:29 PM; ROUTE: api/MPFS/TechnicalPaymentRate; METHOD: POST; IP_ADDRESS: ::1; EXCEPTION: Object reference not set to an instance of an object.; INNER EXCEPTION: 
DATETIME: 12/18/2017 2:23:26 PM; ROUTE: api/MPFS/GlobalPaymentRate; METHOD: POST; IP_ADDRESS: ::1; EXCEPTION: Object reference not set to an instance of an object.; INNER EXCEPTION: 
DATETIME: 12/18/2017 2:24:55 PM; ROUTE: api/Validator; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:24:55 PM; ROUTE: api/GPCI; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:24:56 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:25 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:26 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:26 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:26 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:29 PM; ROUTE: api/Validator; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:29 PM; ROUTE: api/MPFS/Count; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:29 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:29 PM; ROUTE: api/MPFS/PageRecords; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:34 PM; ROUTE: api/MPFS/{CPTCode}/Search; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/Validator; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/GPCI; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/MPFS/{CPTCode}/CPT; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/CCIEdits/{CPTCode}/CPT; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/MUEInformation/{CPTCode}/CPT/; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/MUEInformation/{CPTCode}/CPT/; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:37 PM; ROUTE: api/MPFS/{CPTCode}/GlobalRVUCalculation; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:38 PM; ROUTE: api/MPFS/{CPTCode}/ProfessionalRVUCalculation; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:41 PM; ROUTE: api/MPFS/{CPTCode}/TechnicalRVUCalculation; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:41 PM; ROUTE: api/MPFS/TechnicalPaymentRate; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:25:49 PM; ROUTE: api/MPFS/ProfessionalPaymentRate; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:08 PM; ROUTE: api/Validator; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:08 PM; ROUTE: api/MPFS/Count; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:11 PM; ROUTE: api/MPFS/PageRecords; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:12 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:15 PM; ROUTE: api/MPFS/{CPTCode}/Search; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:19 PM; ROUTE: api/Validator; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:19 PM; ROUTE: api/MPFS/{CPTCode}/CPT; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:19 PM; ROUTE: api/GPCI; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:19 PM; ROUTE: api/MUEInformation/{CPTCode}/CPT/; METHOD: GET; IP_ADDRESS: ::1
DATETIME: 12/18/2017 2:28:19 PM; ROUTE: api/Payments/{UserId}/CheckSubscription; METHOD: POST; IP_ADDRESS: ::1
